Time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,ne_latency,fe_latency,cs_latency,PoA,server,SNR
358,0,0,2,0,0,0,0,0,9,R3,cs,25.44
359,0,0,2,0,0,0,0,0,9,R3,cs,25.44
360,0,0,2,0,0,0,0,0,9,R3,cs,25.44
361,0,0,2,0,0,0,0,0,9,R3,cs,25.44
362,0,0,2,0,0,0,0,0,9,R3,cs,25.44
363,0,0,2,0,0,0,0,0,9,R3,cs,25.44
364,0,0,2,0,0,0,0,0,9,R3,cs,25.44
365,0,0,2,0,0,0,0,0,9,R3,cs,25.44
366,0,0,2,0,0,0,0,0,9,R3,cs,25.44
367,0,0,2,0,0,0,0,0,9,R3,cs,25.44
368,0,0,2,0,0,0,0,0,9,R3,cs,25.44
369,0,0,2,0,0,0,0,0,9,R3,cs,25.44
370,0,0,2,0,0,0,0,0,9,R3,cs,25.44
371,0,0,2,0,0,0,0,0,9,R3,cs,25.44
372,0,0,2,0,0,0,0,0,9,R3,cs,25.44
373,0,0,2,0,0,0,0,0,9,R3,cs,25.44
374,0,0,2,0,0,0,0,0,9,R3,cs,25.44
375,0,0,2,0,0,0,0,0,9,R3,cs,25.44
376,0,0,2,0,0,0,0,0,9,R3,cs,25.44
377,0,0,2,0,0,0,0,0,9,R3,cs,25.44
378,0,0,2,0,0,0,0,0,9,R3,cs,25.44
379,0,0,2,0,0,0,0,0,9,R3,cs,25.44
380,0,0,2,0,0,0,0,0,9,R3,cs,25.44
381,0,0,2,0,0,0,0,0,9,R3,cs,25.44
382,0,0,2,0,0,0,0,0,9,R3,cs,25.44
383,0,0,2,0,0,0,0,0,9,R3,cs,25.44
384,0,0,2,0,0,0,0,0,9,R3,cs,25.44
385,0,0,2,0,0,0,0,0,9,R3,cs,25.44
386,0,0,2,0,0,0,0,0,9,R3,cs,25.44
387,0,0,2,0,0,0,0,0,9,R3,cs,25.44
388,0,0,2,0,0,0,0,0,9,R3,cs,25.44
389,0,0,2,0,0,0,0,0,9,R3,cs,25.44
390,0,0,2,0,0,0,0,0,9,R3,cs,25.44
391,0,0,2,0,0,0,0,0,9,R3,cs,25.44
392,0,0,2,0,0,0,0,0,9,R3,cs,25.44
393,0,0,2,0,0,0,0,0,9,R3,cs,25.44
394,0,0,2,0,0,0,0,0,9,R3,cs,25.44
395,0,0,2,0,0,0,0,0,9,R3,cs,25.44
396,0,0,2,0,0,0,0,0,9,R3,cs,25.44
397,0,0,2,0,0,0,0,0,9,R3,cs,25.44
398,0,0,2,0,0,0,0,0,9,R3,cs,25.44
399,0,0,2,0,0,0,0,0,9,R3,cs,25.44
400,0,0,2,0,0,0,0,0,9,R3,cs,25.44
